new_la_code,la_name,date_of_operation,date_of_termination,parent_geography_code,entity_code,entity_description,status,old_la_code
E06000034,Thurrock,01/01/2009,,E12000006,E06,Unitary Authorities,live,883
E06000035,Medway,01/01/2009,,E12000008,E06,Unitary Authorities,live,887
E06000036,Bracknell Forest,01/01/2009,,E12000008,E06,Unitary Authorities,live,867
E06000037,West Berkshire,01/01/2009,,E12000008,E06,Unitary Authorities,live,869
E06000038,Reading,01/01/2009,,E12000008,E06,Unitary Authorities,live,870
E06000039,Slough,01/01/2009,,E12000008,E06,Unitary Authorities,live,871
E06000040,Windsor and Maidenhead,01/01/2009,,E12000008,E06,Unitary Authorities,live,868
E06000041,Wokingham,01/01/2009,,E12000008,E06,Unitary Authorities,live,872
E06000042,Milton Keynes,01/01/2009,,E12000008,E06,Unitary Authorities,live,826
E06000043,Brighton and Hove,01/01/2009,,E12000008,E06,Unitary Authorities,live,846
E06000044,Portsmouth,01/01/2009,,E12000008,E06,Unitary Authorities,live,851
E06000045,Southampton,01/01/2009,,E12000008,E06,Unitary Authorities,live,852
E06000046,Isle of Wight,01/01/2009,,E12000008,E06,Unitary Authorities,live,921
E09000001,City of London,01/01/2009,,E12000007,E09,London Boroughs,live,201
E09000002,Barking and Dagenham,01/01/2009,,E12000007,E09,London Boroughs,live,301
E09000003,Barnet,01/01/2009,,E12000007,E09,London Boroughs,live,302
E09000004,Bexley,01/01/2009,,E12000007,E09,London Boroughs,live,303
E09000005,Brent,01/01/2009,,E12000007,E09,London Boroughs,live,304
E09000006,Bromley,01/01/2009,,E12000007,E09,London Boroughs,live,305
E09000007,Camden,01/01/2009,,E12000007,E09,London Boroughs,live,202
E06000001,Hartlepool,01/01/2009,,E12000001,E06,Unitary Authorities,live,805
E06000002,Middlesbrough,01/01/2009,,E12000001,E06,Unitary Authorities,live,806
E06000003,Redcar and Cleveland,01/01/2009,,E12000001,E06,Unitary Authorities,live,807
E06000004,Stockton-on-Tees,01/01/2009,,E12000001,E06,Unitary Authorities,live,808
E06000005,Darlington,01/01/2009,,E12000001,E06,Unitary Authorities,live,841
E06000006,Halton,01/01/2009,,E12000002,E06,Unitary Authorities,live,876
E06000007,Warrington,01/01/2009,,E12000002,E06,Unitary Authorities,live,877
E06000008,Blackburn with Darwen,01/01/2009,,E12000002,E06,Unitary Authorities,live,889
E06000009,Blackpool,01/01/2009,,E12000002,E06,Unitary Authorities,live,890
E06000010,"Kingston upon Hull, City of",01/01/2009,,E12000003,E06,Unitary Authorities,live,810
E06000011,East Riding of Yorkshire,01/01/2009,,E12000003,E06,Unitary Authorities,live,811
E06000012,North East Lincolnshire,01/01/2009,,E12000003,E06,Unitary Authorities,live,812
E06000013,North Lincolnshire,01/01/2009,,E12000003,E06,Unitary Authorities,live,813
E06000014,York,01/01/2009,,E12000003,E06,Unitary Authorities,live,816
E06000015,Derby,01/01/2009,,E12000004,E06,Unitary Authorities,live,831
E06000016,Leicester,01/01/2009,,E12000004,E06,Unitary Authorities,live,856
E06000017,Rutland,01/01/2009,,E12000004,E06,Unitary Authorities,live,857
E06000018,Nottingham,01/01/2009,,E12000004,E06,Unitary Authorities,live,892
E06000019,"Herefordshire, County of",01/01/2009,,E12000005,E06,Unitary Authorities,live,884
E06000020,Telford and Wrekin,01/01/2009,,E12000005,E06,Unitary Authorities,live,894
E06000021,Stoke-on-Trent,01/01/2009,,E12000005,E06,Unitary Authorities,live,861
E06000022,Bath and North East Somerset,01/01/2009,,E12000009,E06,Unitary Authorities,live,800
E06000023,"Bristol, City of",01/01/2009,,E12000009,E06,Unitary Authorities,live,801
E06000024,North Somerset,01/01/2009,,E12000009,E06,Unitary Authorities,live,802
E06000025,South Gloucestershire,01/01/2009,,E12000009,E06,Unitary Authorities,live,803
E06000026,Plymouth,01/01/2009,,E12000009,E06,Unitary Authorities,live,879
E06000027,Torbay,01/01/2009,,E12000009,E06,Unitary Authorities,live,880
E06000028,Bournemouth,01/01/2009,31/03/2019,E12000009,E06,Unitary Authorities,terminated,837
E06000029,Poole,01/01/2009,31/03/2019,E12000009,E06,Unitary Authorities,terminated,836
E06000030,Swindon,01/01/2009,,E12000009,E06,Unitary Authorities,live,866
E06000031,Peterborough,01/01/2009,,E12000006,E06,Unitary Authorities,live,874
E06000047,County Durham,01/04/2009,,E12000001,E06,Unitary Authorities,live,840
E06000048,Northumberland,01/04/2009,31/03/2013,E12000001,E06,Unitary Authorities,terminated,929
E06000049,Cheshire East,01/04/2009,,E12000002,E06,Unitary Authorities,live,895
E06000050,Cheshire West and Chester,01/04/2009,,E12000002,E06,Unitary Authorities,live,896
E06000051,Shropshire,01/04/2009,,E12000005,E06,Unitary Authorities,live,893
E06000052,Cornwall,01/04/2009,,E12000009,E06,Unitary Authorities,live,908
E06000053,Isles of Scilly,01/04/2009,,E12000009,E06,Unitary Authorities,live,420
E06000054,Wiltshire,01/04/2009,,E12000009,E06,Unitary Authorities,live,865
